Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
P39676	853149	GO:0005622; GO:0005759; GO:0005829; GO:0008941; GO:0009636; GO:0010494; GO:0016966; GO:0019825; GO:0020037; GO:0034599; GO:0046210; GO:0046872; GO:0071218; GO:0071500; GO:0071949; GO:1902170
B7Z425	6810	GO:0005484; GO:0005622; GO:0006886; GO:0016021; GO:0016192
Q12846	6810	GO:0000149; GO:0000322; GO:0005484; GO:0005615; GO:0005622; GO:0005768; GO:0005773; GO:0005802; GO:0005829; GO:0005886; GO:0006886; GO:0006887; GO:0006906; GO:0008021; GO:0008284; GO:0009986; GO:0012505; GO:0016020; GO:0016021; GO:0016230; GO:0016323; GO:0017157; GO:0019221; GO:0030027; GO:0030335; GO:0030670; GO:0031201; GO:0031629; GO:0033194; GO:0035493; GO:0035749; GO:0035774; GO:0036477; GO:0042581; GO:0042734; GO:0043085; GO:0043197; GO:0043219; GO:0043311; GO:0045202; GO:0045785; GO:0048278; GO:0048284; GO:0048471; GO:0048787; GO:0050921; GO:0051024; GO:0060291; GO:0070062; GO:0071346; GO:0098794; GO:0098978; GO:1902041; GO:1903078; GO:1990668; GO:2000010
Q12018	851424	GO:0000082; GO:0000086; GO:0003688; GO:0005634; GO:0005737; GO:0006511; GO:0016567; GO:0019005; GO:0030674; GO:0031146; GO:0031461; GO:0031625; GO:0051301
A0A024R0N2	29946	GO:0005730; GO:0045893
Q9UJW9	29946	GO:0005634; GO:0005730; GO:0006355; GO:0030308; GO:0045893
Q06010	851105	GO:0004222; GO:0005739; GO:0019236; GO:0019898; GO:0046872; GO:0051603; GO:0071432
P53752	855803	GO:0016020; GO:0016021
Q03824	855198	GO:0005779; GO:0043495; GO:0045033
P53889	855553	GO:0005739; GO:0016787; GO:0046872
A0A024R7R0	51720	GO:0005634; GO:0006302; GO:0016604; GO:0070530; GO:0070531
Q96RL1	51720	GO:0005634; GO:0005654; GO:0006302; GO:0006303; GO:0010212; GO:0016579; GO:0016604; GO:0042393; GO:0045739; GO:0045892; GO:0070530; GO:0070531; GO:0070537; GO:0072425
P36012	853817	GO:0000070; GO:0000776; GO:0000777; GO:0000780; GO:0000786; GO:0005634; GO:0005729; GO:0006334; GO:0009303; GO:0019237; GO:0030543; GO:0031492; GO:0043505; GO:0043565; GO:0046982; GO:0051382; GO:0061644
P53140	852771	GO:0005739; GO:0006413; GO:0009060; GO:0030435; GO:0031314; GO:0043488
Q04487	855145	GO:0000104; GO:0005749; GO:0006099; GO:0006121; GO:0006979; GO:0009055; GO:0016021; GO:0020037; GO:0046872; GO:0048039
Q03305	852076	GO:0005634; GO:0005737; GO:0008757; GO:0018216; GO:0019702; GO:0046498; GO:0046500
Q99393	854052	GO:0005789; GO:0006882; GO:0016021; GO:0038023
Q04526	854891	
Q03262	855321	GO:0000287; GO:0005634; GO:0005737; GO:0006006; GO:0006148; GO:0006166; GO:0008973; GO:0046115
A0A1L8HM97	379215	GO:0000786; GO:0003677; GO:0005634; GO:0046982
P70094	379215	GO:0000786; GO:0003677; GO:0005634; GO:0007275; GO:0046982
P0CF16	855010	
P53254	852982	GO:0000462; GO:0003723; GO:0005654; GO:0005730; GO:0006364; GO:0006409; GO:0031167; GO:0032040; GO:0032545; GO:0034456
P10363	854825	GO:0003697; GO:0003896; GO:0005524; GO:0005658; GO:0006260; GO:0006269; GO:0006270; GO:0006273; GO:0043596; GO:0046872
P38624	853456	GO:0004175; GO:0004298; GO:0005634; GO:0005737; GO:0005789; GO:0005839; GO:0010498; GO:0010499; GO:0019774; GO:0034515; GO:0043161
Q06160	851023	GO:0000131; GO:0003779; GO:0005078; GO:0005826; GO:0005934; GO:0005935; GO:0005937; GO:0007121; GO:0007124; GO:0008360; GO:0031382; GO:0036267; GO:0043332; GO:1902716
P32559	855037	GO:0002098; GO:0003924; GO:0005525; GO:0005737; GO:0005739; GO:0005743; GO:0005759; GO:0006400; GO:0016740; GO:0030488; GO:0070899
P02381	854586	GO:0003735; GO:0005763; GO:0032543
Q08651	854420	GO:0005739; GO:0005773; GO:0005811; GO:0006624; GO:0007033; GO:0016021; GO:0016491
P40455	854654	
P40041	856793	GO:0003677; GO:0005634; GO:0006355
P0C1Z1	1466437	
P53742	855789	GO:0000055; GO:0003924; GO:0005525; GO:0005634; GO:0005654; GO:0005730
Q06839	856212	GO:0031966; GO:0035091
P53273	853026	GO:0005774; GO:0008271; GO:0015116; GO:0015301; GO:0016021; GO:0051087
Q08347	854000	GO:0004065; GO:0018741; GO:0018909; GO:0046872; GO:0046983
A0A024QZ19	9618	GO:0005622; GO:0007250; GO:0008270; GO:0042981; GO:0046330
A0A024QZ59	9618	GO:0005622; GO:0007250; GO:0007585; GO:0008270; GO:0019901; GO:0030323; GO:0042981; GO:0046330
Q9BUZ4	9618	GO:0003677; GO:0005164; GO:0005634; GO:0005737; GO:0005856; GO:0005886; GO:0005923; GO:0006915; GO:0007165; GO:0007250; GO:0007585; GO:0008270; GO:0019901; GO:0030323; GO:0031625; GO:0031996; GO:0042802; GO:0042981; GO:0045860; GO:0046330; GO:0048471; GO:0050699; GO:0090073
P12684	851171	GO:0000502; GO:0004420; GO:0005635; GO:0005778; GO:0005789; GO:0006696; GO:0008299; GO:0015936; GO:0016021; GO:0016126; GO:0042282; GO:0050661
P10566	853308	GO:0005381; GO:0005739; GO:0005743; GO:0006397; GO:0008380; GO:0015093; GO:0016021; GO:0048250
P38828	856521	GO:0003723; GO:0005634; GO:0010494; GO:0016070
P32387	852014	GO:0003735; GO:0005762; GO:0032543
Q8NEC5	117144	GO:0005227; GO:0005245; GO:0005886; GO:0007275; GO:0007283; GO:0030154; GO:0030317; GO:0031514; GO:0034765; GO:0035036; GO:0036128; GO:0060296
P32605	852416	GO:0000398; GO:0005685; GO:0030619; GO:0035614; GO:0071004
B4DKI8	81628	
Q9Y3Q8	81628	GO:0000981; GO:0005634; GO:0005737; GO:0006970; GO:0045892
Q05BK6	10342	GO:0000139; GO:0042802; GO:0048208
Q92734	10342	GO:0000139; GO:0005737; GO:0005829; GO:0006888; GO:0042802; GO:0043123; GO:0048208; GO:0070971
P38084	852360	GO:0005886; GO:0006865; GO:0015171; GO:0015192; GO:0016021; GO:0055085; GO:0098713
P36017	854256	GO:0000011; GO:0003924; GO:0005525; GO:0005768; GO:0005769; GO:0005770; GO:0005829; GO:0005886; GO:0006623; GO:0006886; GO:0006895; GO:0006897; GO:0010008; GO:0030139; GO:0031966; GO:0032482; GO:0032511; GO:0036010; GO:0036258; GO:0061709
P26798	851701	GO:0003677; GO:0005634; GO:0008654; GO:0045944; GO:0046983; GO:0090575
